age,gender,location,education_level,internet_access,income_decile,current_sector,current_skills,target_job_role,predicted_skill_gap,recommended_training
46,Female,Semi-Urban,Vocational,No,8,Retail,"Sales, Communication, Leadership, Typing, Inventory Basics, Excel",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
33,Female,Rural,Graduate,No,2,Administration,"Typing, Data Entry",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
44,Female,Rural,Vocational,Yes,4,Construction,"Communication, Tool Repair, Heavy Lifting, Plumbing",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
42,Female,Semi-Urban,Secondary,Yes,5,Administration,"MS Office, Typing, Email Etiquette, Excel, Data Entry",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
52,Male,Rural,Primary,Yes,7,Agriculture,Livestock Care,Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
31,Female,Rural,Graduate,No,7,Retail,"Sales, Communication, Leadership",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
40,Male,Semi-Urban,Primary,No,1,IT,"Communication, Git, JavaScript, Basic Python, React, HTML",Web Developer,"JavaScript, React, Git",Frontend Development Program
47,Female,Rural,Secondary,Yes,2,Services,"MS Office, Typing, Customer Handling",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
43,Male,Urban,Secondary,Yes,5,Finance,"Communication, Excel, Tax Basics, Bookkeeping",Junior Accountant,"GST Filing, Tally",Accounting & Tally Certification
18,Female,Rural,Primary,Yes,6,Retail,"Sales, Communication, Inventory Basics, Leadership",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
38,Male,Urban,Graduate,No,4,Administration,"Email Etiquette, Excel, Typing",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
40,Female,Rural,Graduate,No,5,Services,Communication,Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
53,Male,Semi-Urban,Vocational,Yes,8,Retail,"Sales, Leadership, Inventory Management, Retail Operations",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
48,Female,Rural,Graduate,Yes,8,Retail,"Sales, Communication",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
25,Male,Urban,Secondary,Yes,5,Retail,"Sales, Communication, Typing, Leadership",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
35,Male,Urban,Graduate,Yes,3,Agriculture,"Livestock Care, Communication, Farming, Basic Math, Soil Testing",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
34,Female,Urban,Primary,Yes,2,IT,"Communication, Git, Basic Coding, Typing, JavaScript, HTML, CSS",Web Developer,"JavaScript, React, Git",Frontend Development Program
51,Female,Rural,Vocational,Yes,10,Services,"Communication, MS Office, Typing, Customer Handling, Email Etiquette, Excel",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
33,Male,Semi-Urban,Primary,Yes,7,Agriculture,"Livestock Care, Farming",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
47,Male,Semi-Urban,Secondary,No,10,Administration,"Excel, Data Entry, Email Etiquette",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
22,Male,Urban,Graduate,Yes,10,Agriculture,"Livestock Care, Farming, Basic Math, Soil Testing, Irrigation",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
46,Male,Semi-Urban,Primary,No,6,Retail,"Sales, Team Management, Inventory Management, Retail Operations",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
48,Female,Rural,Secondary,No,7,Agriculture,"Livestock Care, Farming, Basic Math, Soil Testing",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
39,Female,Semi-Urban,Vocational,Yes,7,Agriculture,"Livestock Care, Soil Testing",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
50,Male,Semi-Urban,Vocational,Yes,4,Finance,"Excel, Accounting",Junior Accountant,"GST Filing, Tally",Accounting & Tally Certification
36,Female,Semi-Urban,Vocational,Yes,10,Agriculture,"Communication, Farming, Irrigation, Soil Testing",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
47,Male,Semi-Urban,Secondary,Yes,5,Construction,"Pipe Fitting, Tool Repair, Heavy Lifting, Plumbing",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
22,Female,Rural,Graduate,No,9,Agriculture,"Livestock Care, Farming, Basic Math, Communication",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
40,Female,Semi-Urban,Vocational,Yes,6,Retail,"Sales, Communication, Leadership, Retail Operations",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
42,Female,Semi-Urban,Secondary,Yes,1,Retail,"Inventory Management, Retail Operations",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
18,Male,Rural,Secondary,Yes,5,Retail,"Sales, Communication, Team Management, Inventory Management",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
22,Male,Semi-Urban,Graduate,No,2,IT,"Communication, Basic Coding, Typing, HTML, Excel",Web Developer,"JavaScript, React, Git",Frontend Development Program
36,Female,Rural,Vocational,Yes,9,IT,"HTML, Basic Coding, Communication",Web Developer,"JavaScript, React, Git",Frontend Development Program
33,Female,Semi-Urban,Secondary,Yes,5,Finance,"Communication, Tax Basics, Bookkeeping, Excel, Accounting",Junior Accountant,"GST Filing, Tally",Accounting & Tally Certification
55,Female,Semi-Urban,Vocational,Yes,8,Retail,"Sales, Communication, Typing",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
54,Female,Semi-Urban,Graduate,Yes,7,Retail,"Sales, Communication, Excel, Typing",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
32,Male,Semi-Urban,Graduate,Yes,3,Retail,"Communication, Excel",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
23,Female,Rural,Vocational,Yes,3,Agriculture,"Livestock Care, Farming, Basic Math, Soil Testing",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
22,Male,Urban,Vocational,No,9,Retail,"Sales, Inventory Management, Retail Operations",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
55,Female,Semi-Urban,Graduate,Yes,4,Administration,"Communication, MS Office, Typing, Email Etiquette, Excel, Data Entry",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
26,Male,Urban,Graduate,No,2,Construction,"Construction Safety, Communication, Heavy Lifting, Plumbing",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
55,Male,Rural,Primary,No,10,Finance,"Communication, Tax Basics, Typing, Excel, Accounting",Junior Accountant,"GST Filing, Tally",Accounting & Tally Certification
24,Female,Semi-Urban,Graduate,Yes,5,Retail,"Leadership, Communication, Typing, Inventory Basics",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
54,Male,Urban,Secondary,Yes,4,Agriculture,"Livestock Care, Farming, Communication",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
25,Male,Urban,Primary,Yes,4,Agriculture,"Livestock Care, Farming, Communication",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
22,Female,Rural,Graduate,Yes,2,Construction,"Communication, Tool Repair, Heavy Lifting, Plumbing, Construction Safety, Pipe Fitting",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
45,Male,Rural,Vocational,Yes,2,Finance,"Tax Basics, Excel, Accounting",Junior Accountant,"GST Filing, Tally",Accounting & Tally Certification
47,Female,Urban,Primary,No,9,Administration,"Communication, Excel, Email Etiquette",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
44,Male,Rural,Vocational,Yes,5,Finance,"Excel, Accounting",Junior Accountant,"GST Filing, Tally",Accounting & Tally Certification
45,Male,Semi-Urban,Graduate,No,9,Construction,"Construction Safety, Communication, Tool Repair, Heavy Lifting",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
36,Female,Rural,Primary,Yes,4,IT,"Communication, Git, Basic Coding, Typing, JavaScript, Basic Python, React, Excel",Web Developer,"JavaScript, React, Git",Frontend Development Program
35,Male,Urban,Graduate,Yes,5,IT,"Communication, Git, Typing, JavaScript, Basic Python, React, HTML, CSS",Web Developer,"JavaScript, React, Git",Frontend Development Program
44,Female,Rural,Secondary,Yes,6,Finance,Excel,Junior Accountant,"GST Filing, Tally",Accounting & Tally Certification
23,Female,Rural,Vocational,Yes,8,IT,"HTML, CSS, Git, JavaScript",Web Developer,"JavaScript, React, Git",Frontend Development Program
51,Female,Urban,Secondary,Yes,10,Retail,"Sales, Retail Operations",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
36,Female,Urban,Primary,Yes,7,Administration,"Communication, Typing, Data Entry, Email Etiquette",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
45,Male,Rural,Primary,No,10,IT,"Communication, Basic Coding, Typing, Excel, CSS",Web Developer,"JavaScript, React, Git",Frontend Development Program
47,Female,Urban,Vocational,No,4,Agriculture,"Livestock Care, Farming, Basic Math, Soil Testing, Irrigation",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
22,Male,Semi-Urban,Secondary,No,6,Agriculture,"Livestock Care, Farming",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
27,Male,Urban,Vocational,Yes,10,Agriculture,"Livestock Care, Farming, Irrigation",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
35,Male,Rural,Primary,Yes,8,Administration,"MS Office, Typing",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
50,Female,Rural,Primary,Yes,10,Construction,"Communication, Tool Repair, Heavy Lifting",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
23,Male,Urban,Secondary,Yes,8,Retail,"Sales, Excel, Inventory Basics",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
39,Male,Rural,Primary,Yes,7,IT,"Communication, Git, Typing, Basic Python, HTML, CSS",Web Developer,"JavaScript, React, Git",Frontend Development Program
26,Male,Rural,Vocational,Yes,6,Finance,"Communication, Excel, Typing",Junior Accountant,"GST Filing, Tally",Accounting & Tally Certification
31,Female,Rural,Secondary,Yes,3,Agriculture,"Communication, Farming, Irrigation, Soil Testing",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
42,Male,Urban,Secondary,No,10,Agriculture,"Livestock Care, Soil Testing",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
46,Female,Semi-Urban,Vocational,Yes,4,Services,"Communication, Typing, MS Office, Email Etiquette",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
28,Male,Semi-Urban,Secondary,No,1,Finance,"Communication, Excel, Accounting, Typing",Junior Accountant,"GST Filing, Tally",Accounting & Tally Certification
46,Male,Rural,Primary,No,4,Administration,"Email Etiquette, Communication, Excel, Typing",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
41,Male,Urban,Graduate,No,6,Construction,"Construction Safety, Plumbing",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
48,Female,Semi-Urban,Primary,No,1,Agriculture,"Livestock Care, Communication, Farming, Basic Math, Irrigation",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
33,Female,Semi-Urban,Vocational,Yes,8,IT,"Basic Coding, JavaScript, Basic Python, React, HTML, Excel, CSS",Web Developer,"JavaScript, React, Git",Frontend Development Program
29,Male,Semi-Urban,Graduate,Yes,9,Finance,"Tax Basics, Typing, Bookkeeping, Accounting",Junior Accountant,"GST Filing, Tally",Accounting & Tally Certification
40,Male,Rural,Secondary,Yes,2,IT,"Git, Basic Coding, Basic Python, HTML, CSS",Web Developer,"JavaScript, React, Git",Frontend Development Program
48,Male,Urban,Primary,Yes,8,Retail,Inventory Management,Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
38,Female,Semi-Urban,Vocational,No,9,IT,"JavaScript, Basic Python, HTML, Excel, CSS",Web Developer,"JavaScript, React, Git",Frontend Development Program
41,Female,Rural,Vocational,No,7,Construction,"Communication, Tool Repair, Heavy Lifting, Construction Safety, Plumbing, Pipe Fitting",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
45,Male,Semi-Urban,Graduate,Yes,2,Construction,"Communication, Tool Repair, Plumbing",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
46,Male,Semi-Urban,Graduate,Yes,7,Retail,"Sales, Communication, Leadership, Typing, MS Office, Inventory Basics, Excel",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
26,Male,Urban,Graduate,Yes,10,IT,"Git, Basic Coding, Typing, Basic Python, React",Web Developer,"JavaScript, React, Git",Frontend Development Program
51,Female,Rural,Graduate,Yes,4,Agriculture,"Communication, Farming, Basic Math, Soil Testing, Irrigation",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
46,Male,Semi-Urban,Graduate,Yes,8,Administration,Typing,Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
23,Female,Semi-Urban,Graduate,Yes,9,Retail,"Sales, Communication, Team Management, Inventory Management, Leadership, Retail Operations",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
33,Female,Urban,Graduate,Yes,6,Agriculture,"Livestock Care, Farming, Soil Testing",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
51,Female,Rural,Primary,Yes,6,Retail,"Communication, Inventory Management",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
26,Female,Semi-Urban,Primary,No,9,Agriculture,Livestock Care,Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
40,Female,Urban,Graduate,Yes,9,Services,"Communication, MS Office, Typing, Customer Handling, Email Etiquette, Excel",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
54,Male,Urban,Primary,Yes,10,Retail,"Sales, Communication, Leadership, Typing, Inventory Basics, Excel",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
37,Female,Urban,Primary,Yes,7,Finance,"Tax Basics, Excel, Accounting, Typing",Junior Accountant,"GST Filing, Tally",Accounting & Tally Certification
43,Male,Rural,Primary,Yes,8,Retail,"Sales, Basic Math, Typing",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
33,Male,Rural,Graduate,Yes,3,Finance,"Communication, Excel, Accounting, Email Etiquette",Junior Accountant,"GST Filing, Tally",Accounting & Tally Certification
31,Female,Urban,Primary,Yes,10,Services,"Communication, Typing, Customer Handling",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
43,Female,Urban,Vocational,Yes,9,Retail,"Sales, Excel, Inventory Basics, Typing",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
25,Male,Urban,Vocational,Yes,6,Administration,"MS Office, Typing, Excel, Communication",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
51,Female,Urban,Secondary,Yes,10,Retail,"Sales, Communication, Team Management, Inventory Management, Leadership, Retail Operations",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
41,Female,Semi-Urban,Primary,No,10,IT,"Communication, Git, Basic Coding, Typing, JavaScript, Basic Python, React, HTML, Excel",Web Developer,"JavaScript, React, Git",Frontend Development Program
20,Male,Urban,Primary,Yes,7,Services,"MS Office, Typing, Customer Handling, Email Etiquette, Excel",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
53,Female,Semi-Urban,Vocational,Yes,6,Services,"MS Office, Typing, Customer Handling, Email Etiquette, Excel",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
35,Female,Urban,Graduate,No,4,Services,"Communication, Typing, Customer Handling, Email Etiquette",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
43,Female,Urban,Graduate,Yes,2,Finance,"Communication, Excel, Accounting, Typing",Junior Accountant,"GST Filing, Tally",Accounting & Tally Certification
53,Female,Urban,Primary,Yes,10,Administration,"Typing, Data Entry, Email Etiquette",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
24,Male,Urban,Secondary,Yes,8,Retail,"Sales, Communication, Team Management, Inventory Management, Retail Operations",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
52,Male,Urban,Vocational,No,3,Services,"MS Office, Typing, Excel, Customer Handling",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
36,Female,Semi-Urban,Vocational,No,3,Retail,"Sales, Communication, Leadership",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
29,Male,Semi-Urban,Graduate,No,10,Administration,"Communication, MS Office, Typing, Email Etiquette, Data Entry",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
29,Male,Rural,Graduate,No,1,Construction,"Construction Safety, Communication, Tool Repair, Plumbing",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
34,Female,Semi-Urban,Secondary,Yes,2,IT,"Communication, Git, Typing, Basic Python, HTML, Excel, CSS",Web Developer,"JavaScript, React, Git",Frontend Development Program
48,Male,Rural,Graduate,Yes,9,Agriculture,"Livestock Care, Communication, Farming, Basic Math, Soil Testing, Irrigation",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
21,Male,Semi-Urban,Secondary,Yes,9,Construction,"Communication, Tool Repair, Heavy Lifting, Construction Safety, Plumbing, Pipe Fitting",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
47,Male,Semi-Urban,Vocational,Yes,5,Finance,"Tax Basics, Communication, Typing, Bookkeeping, Accounting",Junior Accountant,"GST Filing, Tally",Accounting & Tally Certification
22,Female,Urban,Graduate,Yes,3,IT,"Communication, Basic Coding, Typing, HTML, Excel, CSS",Web Developer,"JavaScript, React, Git",Frontend Development Program
40,Male,Urban,Vocational,Yes,4,Agriculture,"Basic Math, Farming, Irrigation, Soil Testing",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
47,Female,Urban,Graduate,Yes,2,Services,"Typing, Excel, Email Etiquette",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
21,Male,Semi-Urban,Primary,Yes,4,Retail,"Sales, Team Management, Retail Operations",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
54,Female,Urban,Graduate,No,9,Retail,"Sales, Excel",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
45,Female,Urban,Graduate,No,7,Agriculture,"Livestock Care, Farming, Soil Testing",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
33,Male,Rural,Secondary,No,1,Retail,"Sales, Leadership, Inventory Management, Retail Operations",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
46,Female,Urban,Secondary,Yes,7,Construction,"Pipe Fitting, Construction Safety, Plumbing",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
37,Male,Urban,Secondary,No,2,Retail,"Sales, Communication, Leadership, Typing, Inventory Basics",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
37,Female,Rural,Vocational,Yes,8,Retail,"Sales, Communication, Excel",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
27,Male,Rural,Vocational,Yes,4,Services,"Communication, MS Office, Typing, Customer Handling, Email Etiquette, Excel",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
49,Female,Urban,Graduate,Yes,9,Retail,"Sales, Communication, Team Management, Inventory Management, Leadership, Retail Operations",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
22,Male,Urban,Secondary,Yes,6,Services,"Typing, Excel, Email Etiquette",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
18,Male,Semi-Urban,Graduate,Yes,5,Finance,Accounting,Junior Accountant,"GST Filing, Tally",Accounting & Tally Certification
33,Male,Semi-Urban,Graduate,No,5,Agriculture,"Livestock Care, Farming, Basic Math, Soil Testing, Irrigation",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
20,Male,Rural,Vocational,Yes,8,Construction,"Construction Safety, Communication, Heavy Lifting, Plumbing",Certified Plumber,"Pipe Fitting, Safety Standards",Advanced Plumbing Certification
54,Male,Semi-Urban,Primary,Yes,10,Retail,"Sales, Communication, Inventory Basics, Leadership",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
19,Male,Semi-Urban,Secondary,No,7,Retail,"Sales, Leadership, Inventory Basics",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
42,Male,Semi-Urban,Primary,Yes,6,Retail,"Communication, Typing",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
38,Male,Semi-Urban,Graduate,No,8,Finance,"Communication, Excel, Accounting, Typing",Junior Accountant,"GST Filing, Tally",Accounting & Tally Certification
23,Female,Urban,Primary,Yes,3,Finance,"Communication, Excel, Basic Math, Accounting",Junior Accountant,"GST Filing, Tally",Accounting & Tally Certification
35,Male,Urban,Primary,Yes,8,Retail,"Sales, Communication, Leadership",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
42,Male,Rural,Vocational,Yes,2,Retail,"Communication, Excel, Typing",Sales Associate,"Leadership, Retail Operations",Retail Sales & Communication Course
49,Male,Urban,Secondary,Yes,7,Administration,"MS Office, Excel, Typing",Data Entry Operator,"Advanced Excel, Documentation",MS Office & Computer Basics Course
30,Female,Urban,Secondary,Yes,7,Retail,"Sales, Communication, Inventory Management, Retail Operations",Retail Store Manager,"Retail Analytics, Team Management",Retail Management Certification
48,Female,Urban,Vocational,No,5,Services,"Communication, Typing, MS Office, Email Etiquette",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
53,Male,Semi-Urban,Vocational,No,4,Agriculture,"Livestock Care, Farming, Basic Math",Modern Farm Manager,"Irrigation, Modern Agriculture",Modern Agriculture & Agritech Training
34,Male,Semi-Urban,Vocational,No,2,Services,"Communication, Typing, Customer Handling, Email Etiquette, Excel",Customer Support Executive,"Professional Communication, CRM Tools",BPO & Customer Service Training
